Date,is_holiday
02/01/2012,1
16/01/2012,1
20/02/2012,1
28/05/2012,1
04/07/2012,1
03/09/2012,1
08/10/2012,1
12/11/2012,1
22/11/2012,1
25/12/2012,1
01/01/2013,1
21/01/2013,1
18/02/2013,1
27/05/2013,1
04/07/2013,1
02/09/2013,1
14/10/2013,1
11/11/2013,1
28/11/2013,1
25/12/2013,1
01/01/2014,1
20/01/2014,1
17/02/2014,1
26/05/2014,1
04/07/2014,1
01/09/2014,1
13/10/2014,1
11/11/2014,1
27/11/2014,1
25/12/2014,1
01/01/2015,1
19/01/2015,1
16/02/2015,1
25/05/2015,1
03/07/2015,1
07/09/2015,1
12/10/2015,1
11/11/2015,1
26/11/2015,1
25/12/2015,1
01/01/2016,1
18/01/2016,1
15/02/2016,1
30/05/2016,1
04/07/2016,1
05/09/2016,1
10/10/2016,1
11/11/2016,1
24/11/2016,1
25/12/2016,1
02/01/2017,1
16/01/2017,1
20/02/2017,1
29/05/2017,1
04/07/2017,1
04/09/2017,1
09/10/2017,1
10/11/2017,1
23/11/2017,1
25/12/2017,1
01/01/2018,1
15/01/2018,1
19/02/2018,1
28/05/2018,1
04/07/2018,1
03/09/2018,1
08/10/2018,1
12/11/2018,1
22/11/2018,1
25/12/2018,1
01/01/2019,1
21/01/2019,1
18/02/2019,1
27/05/2019,1
04/07/2019,1
02/09/2019,1
14/10/2019,1
11/11/2019,1
28/11/2019,1
25/12/2019,1
01/01/2020,1
20/01/2020,1
17/02/2020,1
25/05/2020,1
03/07/2020,1
07/09/2020,1
12/10/2020,1
11/11/2020,1
26/11/2020,1
25/12/2020,1
